nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
8375210E,KFWH1,HI,21.6883,-157.952,FWSBID,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
93202508,KHIH1,HI,20.7356,-156.444,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
781001B6,KHKH1,HI,20.9547,-156.534,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
FA667668,KHOH1,HI,19.6728,-156.02,NPS003,PC,US,UD,TA,MT,XR,VB,PA,MM,UR,UP,RW,,,,,,,,,,,,
4870B654,KHRH1,HI,20.09,-155.826,DFWLNR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
F00743BC,KHSH1,HI,21.3633,-157.844,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD60236E,KIRH1,HI,19.8258,-155.893,USGS01,PC,PC,,,,,,,,,,,,,,,,,,,,,,
F0054648,KKGH1,HI,21.0964,-157.018,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD7CA378,KKLH1,HI,20.9786,-156.554,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
48710720,KKRH1,HI,21.5703,-158.26,DFWLNR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
FA4447E8,KKUH1,HI,19.4736,-155.359,NPS003,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,TX,TN,RW,,,,,,,,,,,
81708572,KLEH1,HI,19.5181,-155.916,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
AA10F12E,KLFH1,HI,20.6828,-156.322,DFWLNR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
DDD6D2EC,KLKH1,HI,22.1789,-159.379,USGS01,HP,VB,,,,,,,,,,,,,,,,,,,,,,
32792006,KLLH1,HI,20.5436,-156.641,BLM001,PC,US,UD,TA,MT,XR,VB,PA,MM,MS,TS,UR,UP,RW,,,,,,,,,,
DDCC972A,KLOH1,HI,22.1542,-159.595,USGS01,PC,VB,,,,,,,,,,,,,,,,,,,,,,
EDD01FB0,KLRH1,HI,20.9133,-156.294,EDDLNR,HP,VB,,,,,,,,,,,,,,,,,,,,,,
1746A000,KLSH1,HI,21.5861,-157.908,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
EDD067F2,KLWH1,HI,22.1872,-159.432,EDDLNR,HP,,,,,,,,,,,,,,,,,,,,,,,
190046EE,KMHH1,HI,21.3083,-157.679,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
32807432,KMOH1,HI,19.2928,-155.107,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
169CC6EC,KMPH1,HI,21.6206,-158.015,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD34C1E4,KMRH1,HI,21.6225,-158.014,USGS01,PC,VB,,,,,,,,,,,,,,,,,,,,,,
DD9A7054,KMSH1,HI,21.3942,-157.749,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
81706680,KMUH1,HI,20.0392,-155.609,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
DDD6F400,KNAH1,HI,21.5406,-157.883,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD12603C,KNEH1,HI,21.4117,-157.798,USGS01,HG,WT,,,,,,,,,,,,,,,,,,,,,,
DDCC37D2,KNFH1,HI,21.5164,-157.945,USGS01,HG,WT,,,,,,,,,,,,,,,,,,,,,,
DD404766,KNNH1,HI,21.6356,-158.055,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
17B972EE,KNRH1,HI,21.5403,-157.883,USGS01,PC,VB,,,,,,,,,,,,,,,,,,,,,,
1900E616,KOKH1,HI,21.3503,-157.818,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
DDF7E462,KORH1,HI,21.5556,-158.104,USGS01,HP,VB,,,,,,,,,,,,,,,,,,,,,,
DDE39056,KOSH1,HI,21.5003,-158.051,USGS01,HG,WT,VB,,,,,,,,,,,,,,,,,,,,,
DDE3463E,KOWH1,HI,21.5653,-158.12,USGS01,HG,WT,TW,VB,,,,,,,,,,,,,,,,,,,,
32B2C438,KPDH1,HI,20.7975,-156.477,FWSBID,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
FA45A6E0,KPGH1,HI,20.6808,-156.149,NPS003,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
15608488,KPIH1,HI,22.1022,-159.386,NWSPAC,PC,,,,,,,,,,,,,,,,,,,,,,,
4870E628,KPLH1,HI,19.8033,-155.918,DFWLNR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
F000D4EA,KPNH1,HI,20.6194,-156.252,USGS01,PC,VB,,,,,,,,,,,,,,,,,,,,,,
AA10E258,KPRH1,HI,19.2581,-155.442,DFWLNR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
32639544,KRCH1,HI,19.2322,-155.78,BLM001,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
